Name,Type,Mana Cost,Power,Toughness,Text
Phantom Carriage,Creature — Spirit,{4}{U}{U},4,4,"Flying
When Phantom Carriage enters the battlefield, you may search your library for a card with flashback or disturb, put it into your graveyard, then shuffle."
A-Phantom Carriage,Creature — Spirit,{2}{U}{U},4,4,"Flying
When Phantom Carriage enters the battlefield, you may search your library for a card with flashback or disturb, put it into your graveyard, then shuffle."
Poppet Stitcher // Poppet Factory,Creature — Human Wizard,{2}{U},2,3,"Whenever you cast an instant or sorcery spell, create a 2/2 black Zombie creature token with decayed. (It can't block. When it attacks, sacrifice it at end of combat.)
At the beginning of your upkeep, if you control three or more creature tokens, you may transform Poppet Stitcher."
Poppet Stitcher // Poppet Factory,Artifact,,,,"Creature tokens you control lose all abilities and have base power and toughness 3/3.
At the beginning of your upkeep, you may transform Poppet Factory."
Revenge of the Drowned,Instant,{3}{U},,,"Target creature's owner puts it on the top or bottom of their library. You create a 2/2 black Zombie creature token with decayed. (It can't block. When it attacks, sacrifice it at end of combat.)"
Secrets of the Key,Instant,{U},,,"Investigate. If this spell was cast from a graveyard, investigate twice instead. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this artifact: Draw a card."")
Flashback {3}{U}"
Shipwreck Sifters,Creature — Spirit,{1}{U},1,2,"When Shipwreck Sifters enters the battlefield, draw a card, then discard a card.
Whenever you discard a Spirit card or a card with disturb, put a +1/+1 counter on Shipwreck Sifters."
A-Shipwreck Sifters,Creature — Spirit,{1}{U},1,2,"When Shipwreck Sifters enters the battlefield, draw a card, then discard a card.
Whenever a Spirit card or a card with disturb is put into your graveyard from anywhere, put a +1/+1 counter on Shipwreck Sifters."
Skaab Wrangler,Creature — Human Wizard,{1}{U},2,1,Tap three untapped creatures you control: Tap target creature.
Sludge Monster,Creature — Horror,{3}{U}{U},5,5,"Whenever Sludge Monster enters the battlefield or attacks, put a slime counter on up to one other target creature.
Non-Horror creatures with slime counters on them lose all abilities and have base power and toughness 2/2."
Spectral Adversary,Creature — Spirit,{1}{U},2,1,"Flash
Flying
When Spectral Adversary enters the battlefield, you may pay {1}{U} any number of times. When you pay this cost one or more times, put that many +1/+1 counters on Spectral Adversary, then up to that many other target artifacts, creatures, and/or enchantments phase out."
Startle,Instant,{1}{U},,,"Target creature gets -2/-0 until end of turn. Create a 2/2 black Zombie creature token with decayed. (It can't block. When it attacks, sacrifice it at end of combat.)
Draw a card."
Stormrider Spirit,Creature — Spirit,{4}{U},3,3,"Flash
Flying"
Suspicious Stowaway // Seafaring Werewolf,Creature — Human Rogue Werewolf,{1}{U},1,1,"Suspicious Stowaway can't be blocked.
Whenever Suspicious Stowaway deals combat damage to a player, draw a card, then discard a card.
Daybound (If a player casts no spells during their own turn, it becomes night next turn.)"
Suspicious Stowaway // Seafaring Werewolf,Creature — Werewolf,,2,1,"Seafaring Werewolf can't be blocked.
Whenever Seafaring Werewolf deals combat damage to a player, draw a card.
Nightbound (If a player casts at least two spells during their own turn, it becomes day next turn.)"
Triskaidekaphile,Creature — Human Wizard,{1}{U},1,3,"You have no maximum hand size.
At the beginning of your upkeep, if you have exactly thirteen cards in your hand, you win the game.
{3}{U}: Draw a card."
Unblinking Observer,Creature — Homunculus,{1}{U},2,1,{T}: Add {U}. Spend this mana only to pay a disturb cost or cast an instant or sorcery spell.
Vivisection,Sorcery,{3}{U},,,"As an additional cost to cast this spell, sacrifice a creature.
Draw three cards."
Arrogant Outlaw,Creature — Vampire Noble,{2}{B},3,2,"When Arrogant Outlaw enters the battlefield, if an opponent lost life this turn, each opponent loses 2 life and you gain 2 life."
Baneblade Scoundrel // Baneclaw Marauder,Creature — Human Rogue Werewolf,{3}{B},4,3,"Whenever Baneblade Scoundrel becomes blocked, each creature blocking it gets -1/-1 until end of turn.
Daybound (If a player casts no spells during their own turn, it becomes night next turn.)"
Baneblade Scoundrel // Baneclaw Marauder,Creature — Werewolf,,5,4,"Whenever Baneclaw Marauder becomes blocked, each creature blocking it gets -1/-1 until end of turn.
Whenever a creature blocking Baneclaw Marauder dies, that creature's controller loses 1 life.
Nightbound (If a player casts at least two spells during their own turn, it becomes day next turn.)"
Bat Whisperer,Creature — Vampire,{3}{B},4,2,"When Bat Whisperer enters the battlefield, if an opponent lost life this turn, create a 1/1 black Bat creature token with flying."
Bladebrand,Instant,{1}{B},,,"Target creature gains deathtouch until end of turn.
Draw a card."
Blood Pact,Instant,{2}{B},,,Target player draws two cards and loses 2 life.
Bloodline Culling,Instant,{1}{B}{B},,,"Choose one —
• Target creature gets -5/-5 until end of turn.
• Creature tokens get -2/-2 until end of turn."
Bloodtithe Collector,Creature — Vampire Noble,{4}{B},3,4,"Flying
When Bloodtithe Collector enters the battlefield, if an opponent lost life this turn, each opponent discards a card."
Champion of the Perished,Creature — Zombie,{B},1,1,"Whenever another Zombie enters the battlefield under your control, put a +1/+1 counter on Champion of the Perished."
Covert Cutpurse // Covetous Geist,Creature — Human Rogue,{2}{B},2,1,"When Covert Cutpurse enters the battlefield, destroy target creature you don't control that was dealt damage this turn.
Disturb {4}{B} (You may cast this card from your graveyard transformed for its disturb cost.)"
Covert Cutpurse // Covetous Geist,Creature — Spirit Rogue,,2,2,"Flying, deathtouch
If Covetous Geist would be put into a graveyard from anywhere, exile it instead."
Crawl from the Cellar,Sorcery,{B},,,"Return target creature card from your graveyard to your hand. Put a +1/+1 counter on up to one target Zombie you control.
Flashback {3}{B} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
Curse of Leeches // Leeching Lurker,Enchantment — Aura Curse,{2}{B},,,"Enchant player
As this permanent transforms into Curse of Leeches, attach it to a player.
At the beginning of enchanted player's upkeep, they lose 1 life and you gain 1 life.
Daybound (If a player casts no spells during their own turn, it becomes night next turn.)"
Curse of Leeches // Leeching Lurker,Creature — Leech Horror,,4,4,"Lifelink
Nightbound (If a player casts at least two spells during their own turn, it becomes day next turn.)"
Defenestrate,Instant,{2}{B},,,Destroy target creature without flying.
Diregraf Horde,Creature — Zombie,{4}{B},3,4,"When Diregraf Horde enters the battlefield, create two 2/2 black Zombie creature tokens with decayed. When you do, exile up to two target cards from graveyards. (A creature with decayed can't block. When it attacks, sacrifice it at end of combat.)"
Dreadhound,Creature — Demon Dog,{4}{B}{B},6,6,"When Dreadhound enters the battlefield, mill three cards. (Put the top three cards of your library into your graveyard.)
Whenever a creature dies or a creature card is put into a graveyard from a library, each opponent loses 1 life."
Duress,Sorcery,{B},,,"Target opponent reveals their hand. You choose a noncreature, nonland card from it. That player discards that card."
Eaten Alive,Sorcery,{B},,,"As an additional cost to cast this spell, sacrifice a creature or pay {3}{B}.
Exile target creature or planeswalker."
Ecstatic Awakener // Awoken Demon,Creature — Human Wizard,{B},1,1,"{2}{B}, Sacrifice another creature: Draw a card, then transform Ecstatic Awakener. Activate only once each turn."
Ecstatic Awakener // Awoken Demon,Creature — Demon,,4,4,
Foul Play,Sorcery,{1}{B},,,"Destroy target creature with power 2 or less. Investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this artifact: Draw a card."")"
Ghoulish Procession,Enchantment,{1}{B},,,"Whenever one or more nontoken creatures die, create a 2/2 black Zombie creature token with decayed. This ability triggers only once each turn. (A creature with decayed can't block. When it attacks, sacrifice it at end of combat.)"
"Gisa, Glorious Resurrector",Legendary Creature — Human Wizard,{2}{B}{B},4,4,"If a creature an opponent controls would die, exile it instead.
At the beginning of your upkeep, put all creature cards exiled with Gisa, Glorious Resurrector onto the battlefield under your control. They gain decayed. (A creature with decayed can't block. When it attacks, sacrifice it at end of combat.)"
Graveyard Trespasser // Graveyard Glutton,Creature — Human Werewolf,{2}{B},3,3,"Ward—Discard a card.
Whenever Graveyard Trespasser enters the battlefield or attacks, exile up to one target card from a graveyard. If a creature card was exiled this way, each opponent loses 1 life and you gain 1 life.
Daybound (If a player casts no spells during their own turn, it becomes night next turn.)"
Graveyard Trespasser // Graveyard Glutton,Creature — Werewolf,,4,4,"Ward—Discard a card.
Whenever Graveyard Glutton enters the battlefield or attacks, exile up to two target cards from graveyards. For each creature card exiled this way, each opponent loses 1 life and you gain 1 life.
Nightbound (If a player casts at least two spells during their own turn, it becomes day next turn.)"
Heirloom Mirror // Inherited Fiend,Artifact,{1}{B},,,"{1}, {T}, Pay 1 life, Discard a card: Draw a card, mill a card, then put a ritual counter on Heirloom Mirror. Then if it has three or more ritual counters on it, remove them and transform it. Activate only as a sorcery."
Heirloom Mirror // Inherited Fiend,Creature — Demon,,4,4,"Flying
{2}{B}: Exile target creature card from a graveyard. Put a +1/+1 counter on Inherited Fiend."
Hobbling Zombie,Creature — Zombie,{2}{B},2,2,"Deathtouch
When Hobbling Zombie dies, create a 2/2 black Zombie creature token with decayed. (It can't block. When it attacks, sacrifice it at end of combat.)"
A-Hobbling Zombie,Creature — Zombie,{1}{B},2,2,"Deathtouch
When Hobbling Zombie dies, create a 2/2 black Zombie creature token with decayed. (It can't block. When it attacks, sacrifice it at end of combat.)"
Infernal Grasp,Instant,{1}{B},,,Destroy target creature. You lose 2 life.
"Jadar, Ghoulcaller of Nephalia",Legendary Creature — Human Wizard,{1}{B},1,1,"At the beginning of your end step, if you control no creatures with decayed, create a 2/2 black Zombie creature token with decayed. (It can't block. When it attacks, sacrifice it at end of combat.)"
"Jerren, Corrupted Bishop // Ormendahl, the Corrupter",Legendary Creature — Human Cleric,{2}{B},2,3,"Whenever Jerren, Corrupted Bishop enters the battlefield or another nontoken Human you control dies, you lose 1 life and create a 1/1 white Human creature token.
{2}: Target Human you control gains lifelink until end of turn.
At the beginning of your end step, if you have exactly 13 life, you may pay {4}{B}{B}. If you do, transform Jerren."
"Jerren, Corrupted Bishop // Ormendahl, the Corrupter",Legendary Creature — Demon,,6,6,"Flying, trample, lifelink
Sacrifice another creature: Draw a card."
Lord of the Forsaken,Creature — Demon,{4}{B}{B},6,6,"Flying, trample
{B}, Sacrifice another creature: Target player mills three cards.
Pay 1 life: Add {C}. Spend this mana only to cast a spell from your graveyard."
Mask of Griselbrand,Legendary Artifact — Equipment,{1}{B}{B},,,"Equipped creature has flying and lifelink.
Whenever equipped creature dies, you may pay X life, where X is its power. If you do, draw X cards.
Equip {3}"
The Meathook Massacre,Legendary Enchantment,{X}{B}{B},,,"When The Meathook Massacre enters the battlefield, each creature gets -X/-X until end of turn.
Whenever a creature you control dies, each opponent loses 1 life.
Whenever a creature an opponent controls dies, you gain 1 life."
A-The Meathook Massacre,Legendary Enchantment,{X}{B}{B},,,"When The Meathook Massacre enters the battlefield, each creature gets -X/-X until end of turn.
Whenever a creature you control dies, each opponent loses 1 life."
Morbid Opportunist,Creature — Human Rogue,{2}{B},1,3,"Whenever one or more other creatures die, draw a card. This ability triggers only once each turn."
Morkrut Behemoth,Creature — Zombie Giant,{4}{B},7,6,"As an additional cost to cast this spell, sacrifice a creature or pay {1}{B}.
Menace (This creature can't be blocked except by two or more creatures.)"
Necrosynthesis,Enchantment — Aura,{1}{B},,,"Enchant creature
Enchanted creature has ""Whenever another creature dies, put a +1/+1 counter on this creature.""
When enchanted creature dies, look at the top X cards of your library, where X is its power. Put one of those cards into your hand and the rest on the bottom of your library in a random order."
No Way Out,Sorcery,{2}{B},,,"Target opponent discards two cards. You create a 2/2 black Zombie creature token with decayed. (It can't block. When it attacks, sacrifice it at end of combat.)"
Novice Occultist,Creature — Human Wizard,{1}{B},1,2,"When Novice Occultist dies, you draw a card and you lose 1 life."
Olivia's Midnight Ambush,Instant,{1}{B},,,"Target creature gets -2/-2 until end of turn. If it's night, that creature gets -13/-13 until end of turn instead."
Rotten Reunion,Instant,{B},,,"Exile up to one target card from a graveyard. Create a 2/2 black Zombie creature token with decayed. (It can't block. When it attacks, sacrifice it at end of combat.)
Flashback {1}{B} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
Shady Traveler // Stalking Predator,Creature — Human Werewolf,{2}{B},2,3,"Menace (This creature can't be blocked except by two or more creatures.)
Daybound (If a player casts no spells during their own turn, it becomes night next turn.)"
Shady Traveler // Stalking Predator,Creature — Werewolf,,4,4,"Menace (This creature can't be blocked except by two or more creatures.)
Nightbound (If a player casts at least two spells during their own turn, it becomes day next turn.)"
Siege Zombie,Creature — Zombie,{1}{B},2,2,Tap three untapped creatures you control: Each opponent loses 1 life.
